Date,Price,Open,High,Low,Vol.,Change %,,,,,,
20/11/1995,9.52,9.67,9.74,9.39,1.43M,-1.55%,,,,,,
21/11/1995,9.41,9.46,9.51,9.39,541.60K,-1.16%,,,,,,
22/11/1995,9.56,9.44,9.57,9.43,936.00K,1.59%,,,,,,
23/11/1995,9.65,9.59,9.69,9.57,680.80K,0.94%,,,,,,
24/11/1995,9.84,9.65,9.91,9.61,752.40K,1.97%,,,,,,
27/11/1995,9.89,9.82,9.91,9.82,608.00K,0.51%,,,,,,
28/11/1995,9.81,9.85,9.87,9.74,600.80K,-0.81%,,,,,,
29/11/1995,9.8,9.78,9.94,9.75,452.00K,-0.10%,,,,,,
30/11/1995,10.06,9.83,10.23,9.75,1.11M,2.65%,,,,,,
01/12/1995,10.09,10.1,10.22,9.98,1.97M,0.30%,,,,,,
04/12/1995,9.93,9.97,9.97,9.89,241.60K,-1.59%,,,,,,
05/12/1995,9.86,9.94,9.94,9.71,606.80K,-0.70%,,,,,,
06/12/1995,9.71,9.87,9.89,9.71,187.20K,-1.52%,,,,,,
07/12/1995,9.82,9.77,9.84,9.69,534.40K,1.13%,,,,,,
08/12/1995,9.8,9.82,9.87,9.77,219.20K,-0.20%,,,,,,
11/12/1995,9.63,9.8,9.8,9.63,158.80K,-1.73%,,,,,,
12/12/1995,9.68,9.68,9.71,9.65,284.40K,0.52%,,,,,,
13/12/1995,9.66,9.69,9.69,9.52,486.40K,-0.21%,,,,,,
14/12/1995,9.55,9.64,9.64,9.54,215.20K,-1.14%,,,,,,
15/12/1995,9.35,9.55,9.55,9.33,436.00K,-2.09%,,,,,,
18/12/1995,9.01,9.2,9.2,8.97,428.40K,-3.64%,,,,,,
19/12/1995,9.18,8.95,9.39,8.95,732.80K,1.89%,,,,,,
20/12/1995,9.45,9.2,9.55,9.2,277.20K,2.94%,,,,,,
21/12/1995,9.65,9.39,9.78,9.39,679.60K,2.12%,,,,,,
22/12/1995,9.71,9.65,9.91,9.65,208.00K,0.62%,,,,,,
27/12/1995,9.5,9.65,9.65,9.5,186.40K,-2.16%,,,,,,
28/12/1995,9.5,9.46,9.52,9.43,72.40K,0.00%,,,,,,
29/12/1995,9.71,9.59,9.78,9.59,109.20K,2.21%,,,,,,
02/01/1996,9.79,9.71,9.84,9.59,335.20K,0.82%,,,,,,
03/01/1996,9.84,9.82,10.05,9.78,359.20K,0.51%,,,,,,
04/01/1996,9.98,9.91,10.02,9.91,154.80K,1.42%,,,,,,
05/01/1996,9.94,9.91,10.07,9.78,172.80K,-0.40%,,,,,,
08/01/1996,9.87,9.94,9.94,9.87,110.00K,-0.70%,,,,,,
09/01/1996,9.97,9.93,10,9.9,220.80K,1.01%,,,,,,
10/01/1996,9.88,9.94,10,9.84,211.20K,-0.90%,,,,,,
11/01/1996,9.84,9.78,9.91,9.78,26.40K,-0.40%,,,,,,
12/01/1996,10.03,9.93,10.07,9.92,122.00K,1.93%,,,,,,
15/01/1996,10.16,10.1,10.16,10.03,252.40K,1.30%,,,,,,
16/01/1996,10.53,10.1,10.55,10.1,368.40K,3.64%,,,,,,
17/01/1996,10.71,10.61,10.71,10.48,260.40K,1.71%,,,,,,
18/01/1996,10.48,10.69,10.75,10.42,553.20K,-2.15%,,,,,,
19/01/1996,10.61,10.55,10.62,10.52,126.40K,1.24%,,,,,,
22/01/1996,10.74,10.61,10.95,10.61,466.00K,1.23%,,,,,,
23/01/1996,10.64,10.67,10.76,10.48,160.40K,-0.93%,,,,,,
24/01/1996,10.62,10.61,10.67,10.5,286.80K,-0.19%,,,,,,
25/01/1996,10.68,10.63,10.8,10.63,97.60K,0.56%,,,,,,
26/01/1996,10.48,10.67,10.81,10.46,184.80K,-1.87%,,,,,,
29/01/1996,10.35,10.42,10.42,10.3,204.40K,-1.24%,,,,,,
30/01/1996,10.8,10.4,10.8,10.4,263.60K,4.35%,,,,,,
31/01/1996,10.77,10.8,10.93,10.67,129.20K,-0.28%,,,,,,
01/02/1996,10.8,10.83,10.88,10.8,60.00K,0.28%,,,,,,
02/02/1996,10.81,10.84,10.86,10.67,72.40K,0.09%,,,,,,
05/02/1996,10.78,10.74,10.78,10.74,73.60K,-0.28%,,,,,,
06/02/1996,10.88,10.79,10.9,10.79,332.80K,0.93%,,,,,,
07/02/1996,10.86,10.86,10.9,10.84,129.20K,-0.18%,,,,,,
