Date,Price,Open,High,Low,Vol.,Change %,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1995-11-20,0.18,0.18,0.18,0.18,1.43M,-1.55%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-21,0.18,0.18,0.18,0.18,541.60K,-1.16%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-22,0.18,0.18,0.18,0.18,936.00K,1.59%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-23,0.17,0.17,0.18,0.17,680.80K,0.94%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-24,0.16,0.16,0.16,0.16,752.40K,1.97%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-27,0.16,0.16,0.16,0.16,608.00K,0.51%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-28,0.15,0.15,0.15,0.15,600.80K,-0.81%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-29,0.14,0.14,0.14,0.14,452.00K,-0.10%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-11-30,0.15,0.15,0.15,0.15,1.11M,2.65%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-01,0.15,0.15,0.15,0.15,1.97M,0.30%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-04,0.15,0.15,0.15,0.15,241.60K,-1.59%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-05,0.14,0.14,0.15,0.14,606.80K,-0.70%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-06,0.15,0.15,0.15,0.15,187.20K,-1.52%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-07,0.15,0.15,0.15,0.15,534.40K,1.13%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-08,0.15,0.15,0.16,0.15,219.20K,-0.20%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-11,0.16,0.16,0.16,0.16,158.80K,-1.73%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1995-12-12,0.16,0.16,0.17,0.16,284.40K,0.52%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
