Date,Price,Open,High,Low,Vol.,Change %,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1980-02-12,0.18,0.18,0.18,0.18,100.71M,-99.79%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-12,0.18,0.18,0.18,0.18,25.18M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-12,0.18,0.18,0.18,0.18,22.69M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-05-12,0.17,0.17,0.18,0.17,7.59M,-5.56%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-08-12,0.16,0.16,0.16,0.16,5.41M,-5.88%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-09-12,0.16,0.16,0.16,0.16,5.82M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-10-12,0.15,0.15,0.15,0.15,5.88M,-6.25%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-11-12,0.14,0.14,0.14,0.14,5.44M,-6.67%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-12-12,0.15,0.15,0.15,0.15,8.15M,7.14%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-02-01,0.17,0.17,0.17,0.17,1.57M,6.25%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-05-01,0.17,0.17,0.18,0.17,5.82M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-06-01,0.18,0.18,0.18,0.18,6.95M,5.88%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-07-01,0.17,0.17,0.17,0.17,8.81M,-5.56%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-08-01,0.16,0.16,0.16,0.16,3.30M,-5.88%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-09-01,0.16,0.16,0.16,0.16,2.47M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-12-01,0.16,0.16,0.17,0.16,3.35M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-02-02,0.15,0.15,0.15,0.15,2.06M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-03-02,0.15,0.15,0.15,0.15,1.14M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1981-04-02,0.15,0.15,0.15,0.15,2.06M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
