Date,Price,Open,High,Low,Vol.,Change %,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1980-03-18,0.18,0.18,0.18,0.18,2.20M,-0.86%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-19,0.18,0.18,0.18,0.18,1.04M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-20,0.18,0.18,0.18,0.18,1.55M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-21,0.17,0.17,0.18,0.17,1.76M,1.74%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-24,0.16,0.16,0.16,0.16,6.29M,-4.27%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-25,0.16,0.16,0.16,0.16,1.73M,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-26,0.15,0.15,0.15,0.15,2.75M,-0.89%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-27,0.14,0.14,0.14,0.14,1.90M,0.90%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-28,0.15,0.15,0.15,0.15,2.42M,8.93%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-31,0.15,0.15,0.15,0.15,2.31M,4.92%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-01-04,0.15,0.15,0.15,0.15,3.12M,0.78%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-02-04,0.14,0.14,0.15,0.14,1.82M,1.55%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-04,0.15,0.15,0.15,0.15,698.40K,-0.76%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-07-04,0.15,0.15,0.15,0.15,1.84M,-4.62%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-08-04,0.15,0.15,0.16,0.15,1.08M,1.61%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-09-04,0.16,0.16,0.16,0.16,1.77M,0.79%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-10-04,0.16,0.16,0.17,0.16,653.40K,0.79%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-11-04,0.16,0.16,0.17,0.16,1.11M,-1.56%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-14,0.16,0.16,0.17,0.16,1.06M,-3.17%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-15,0.17,0.17,0.17,0.17,570.60K,-0.82%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-16,0.16,0.16,0.17,0.16,815.40K,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-17,0.17,0.17,0.17,0.17,583.20K,-0.83%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-18,0.17,0.17,0.18,0.17,1.16M,-0.83%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-21,0.18,0.18,0.18,0.18,464.40K,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
