Date,Price,Open,High,Low,Vol.,Change %,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1980-03-18,0.18,0.18,0.18,0.18,2.19M,6.67%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-19,0.18,0.18,0.18,0.18,148.50K,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-20,0.18,0.18,0.18,0.18,720.50K,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-21,0.17,0.17,0.18,0.17,67.10K,1.56%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-24,0.16,0.16,0.16,0.16,82.50K,-3.08%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-25,0.16,0.16,0.16,0.16,62.70K,1.59%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-26,0.15,0.15,0.15,0.15,102.30K,-1.56%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-27,0.14,0.14,0.14,0.14,1.18M,-9.52%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-28,0.15,0.15,0.15,0.15,573.10K,12.28%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-03-31,0.15,0.15,0.15,0.15,1.31M,-1.56%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-01,0.15,0.15,0.15,0.15,724.90K,-3.17%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-02,0.14,0.14,0.15,0.14,3.25M,4.92%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-03,0.15,0.15,0.15,0.15,3.24M,6.25%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-07,0.15,0.15,0.15,0.15,3.62M,-1.47%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-08,0.15,0.15,0.16,0.15,962.50K,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-09,0.16,0.16,0.16,0.16,721.60K,0.00%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-10,0.16,0.16,0.17,0.16,4.07M,4.48%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-11,0.16,0.16,0.17,0.16,6.13M,4.29%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
1980-04-14,0.16,0.16,0.17,0.16,565.40K,-4.11%,50.824999999999996,50.655,51.035000000000004,50.23,Missing,Missing
