Date,Price,Open,High,Low,Vol.,Change %,,,,,,
02/12/1980,0.18,0.18,0.18,0.18,100.71M,-99.79%,,,,,,
03/12/1980,0.18,0.18,0.18,0.18,25.18M,0.00%,,,,,,
04/12/1980,0.18,0.18,0.18,0.18,22.69M,0.00%,,,,,,
05/12/1980,0.17,0.17,0.18,0.17,7.59M,-5.56%,,,,,,
08/12/1980,0.16,0.16,0.16,0.16,5.41M,-5.88%,,,,,,
09/12/1980,0.16,0.16,0.16,0.16,5.82M,0.00%,,,,,,
10/12/1980,0.15,0.15,0.15,0.15,5.88M,-6.25%,,,,,,
11/12/1980,0.14,0.14,0.14,0.14,5.44M,-6.67%,,,,,,
12/12/1980,0.15,0.15,0.15,0.15,8.15M,7.14%,,,,,,
15/12/1980,0.15,0.15,0.15,0.15,6.64M,0.00%,,,,,,
16/12/1980,0.15,0.15,0.15,0.15,6.63M,0.00%,,,,,,
17/12/1980,0.14,0.14,0.15,0.14,4.67M,-6.67%,,,,,,
18/12/1980,0.15,0.15,0.15,0.15,11.25M,7.14%,,,,,,
19/12/1980,0.15,0.15,0.15,0.15,10.04M,0.00%,,,,,,
22/12/1980,0.15,0.15,0.16,0.15,1.86M,0.00%,,,,,,
23/12/1980,0.16,0.16,0.16,0.16,5.70M,6.67%,,,,,,
24/12/1980,0.16,0.16,0.17,0.16,2.44M,0.00%,,,,,,
26/12/1980,0.16,0.16,0.17,0.16,1.46M,0.00%,,,,,,
29/12/1980,0.16,0.16,0.17,0.16,1.74M,0.00%,,,,,,
30/12/1980,0.17,0.17,0.17,0.17,4.36M,6.25%,,,,,,
31/12/1980,0.16,0.16,0.17,0.16,2.92M,-5.88%,,,,,,
02/01/1981,0.17,0.17,0.17,0.17,1.57M,6.25%,,,,,,
05/01/1981,0.17,0.17,0.18,0.17,5.82M,0.00%,,,,,,
06/01/1981,0.18,0.18,0.18,0.18,6.95M,5.88%,,,,,,
07/01/1981,0.17,0.17,0.17,0.17,8.81M,-5.56%,,,,,,
08/01/1981,0.16,0.16,0.16,0.16,3.30M,-5.88%,,,,,,
09/01/1981,0.16,0.16,0.16,0.16,2.47M,0.00%,,,,,,
12/01/1981,0.16,0.16,0.17,0.16,3.35M,0.00%,,,,,,
13/01/1981,0.17,0.17,0.17,0.17,4.47M,6.25%,,,,,,
14/01/1981,0.17,0.17,0.18,0.17,7.92M,0.00%,,,,,,
15/01/1981,0.17,0.17,0.17,0.17,2.52M,0.00%,,,,,,
16/01/1981,0.17,0.17,0.18,0.17,3.33M,0.00%,,,,,,
19/01/1981,0.17,0.17,0.17,0.17,4.03M,0.00%,,,,,,
20/01/1981,0.17,0.17,0.17,0.17,3.51M,0.00%,,,,,,
21/01/1981,0.16,0.16,0.17,0.16,985.60K,-5.88%,,,,,,
22/01/1981,0.16,0.16,0.16,0.16,1.32M,0.00%,,,,,,
23/01/1981,0.16,0.16,0.16,0.16,1.38M,0.00%,,,,,,
26/01/1981,0.16,0.16,0.16,0.16,1.13M,0.00%,,,,,,
27/01/1981,0.16,0.16,0.16,0.16,857.60K,0.00%,,,,,,
28/01/1981,0.16,0.16,0.16,0.16,1.16M,0.00%,,,,,,
29/01/1981,0.16,0.16,0.16,0.16,2.52M,0.00%,,,,,,
30/01/1981,0.15,0.15,0.15,0.15,832.00K,-6.25%,,,,,,
02/02/1981,0.15,0.15,0.15,0.15,2.06M,0.00%,,,,,,
03/02/1981,0.15,0.15,0.15,0.15,1.14M,0.00%,,,,,,
04/02/1981,0.15,0.15,0.15,0.15,2.06M,0.00%,,,,,,
05/02/1981,0.15,0.15,0.15,0.15,3.88M,0.00%,,,,,,
06/02/1981,0.15,0.15,0.15,0.15,1.22M,0.00%,,,,,,
09/02/1981,0.15,0.15,0.15,0.15,1.14M,0.00%,,,,,,
10/02/1981,0.15,0.15,0.15,0.15,2.18M,0.00%,,,,,,
11/02/1981,0.14,0.14,0.15,0.14,1.25M,-6.67%,,,,,,
12/02/1981,0.14,0.14,0.15,0.14,217.60K,0.00%,,,,,,
13/02/1981,0.14,0.14,0.15,0.14,921.60K,0.00%,,,,,,
17/02/1981,0.14,0.14,0.14,0.14,806.40K,0.00%,,,,,,
18/02/1981,0.14,0.14,0.15,0.14,2.20M,0.00%,,,,,,
19/02/1981,0.15,0.15,0.15,0.15,1.88M,7.14%,,,,,,
20/02/1981,0.15,0.15,0.15,0.15,1.54M,0.00%,,,,,,
23/02/1981,0.15,0.15,0.15,0.15,537.60K,0.00%,,,,,,
24/02/1981,0.15,0.15,0.15,0.15,2.01M,0.00%,,,,,,
25/02/1981,0.15,0.15,0.15,0.15,537.60K,0.00%,,,,,,
26/02/1981,0.15,0.15,0.15,0.15,844.80K,0.00%,,,,,,
27/02/1981,0.15,0.15,0.16,0.15,755.20K,0.00%,,,,,,
02/03/1981,0.15,0.15,0.16,0.15,896.00K,0.00%,,,,,,
03/03/1981,0.15,0.15,0.16,0.15,3.80M,0.00%,,,,,,
04/03/1981,0.15,0.15,0.16,0.15,2.51M,0.00%,,,,,,
05/03/1981,0.15,0.15,0.16,0.15,691.20K,0.00%,,,,,,
06/03/1981,0.15,0.15,0.15,0.15,1.64M,0.00%,,,,,,
09/03/1981,0.15,0.15,0.15,0.15,972.80K,0.00%,,,,,,
10/03/1981,0.14,0.14,0.14,0.14,1.43M,-6.67%,,,,,,
11/03/1981,0.14,0.14,0.14,0.14,1.83M,0.00%,,,,,,
12/03/1981,0.14,0.14,0.14,0.14,3.90M,0.00%,,,,,,
13/03/1981,0.14,0.14,0.15,0.14,729.60K,0.00%,,,,,,
16/03/1981,0.14,0.14,0.14,0.14,921.60K,0.00%,,,,,,
17/03/1981,0.14,0.14,0.14,0.14,832.00K,0.00%,,,,,,
18/03/1981,0.14,0.14,0.14,0.14,2.02M,0.00%,,,,,,
19/03/1981,0.13,0.13,0.14,0.13,3.56M,-7.14%,,,,,,
20/03/1981,0.14,0.14,0.14,0.14,1.73M,7.69%,,,,,,
23/03/1981,0.14,0.14,0.14,0.14,2.69M,0.00%,,,,,,
24/03/1981,0.14,0.14,0.14,0.14,3.26M,0.00%,,,,,,
