Date,Price,Open,High,Low,Vol.,Change %,,,,,,
18/03/1980,1.15,1.15,1.17,1.14,2.20M,-0.86%,,,,,,
19/03/1980,1.15,1.15,1.16,1.15,1.04M,0.00%,,,,,,
20/03/1980,1.15,1.15,1.15,1.14,1.55M,0.00%,,,,,,
21/03/1980,1.17,1.17,1.18,1.15,1.76M,1.74%,,,,,,
24/03/1980,1.12,1.12,1.17,1.12,6.29M,-4.27%,,,,,,
25/03/1980,1.12,1.12,1.13,1.12,1.73M,0.00%,,,,,,
26/03/1980,1.11,1.11,1.15,1.11,2.75M,-0.89%,,,,,,
27/03/1980,1.12,1.12,1.13,1.11,1.90M,0.90%,,,,,,
28/03/1980,1.22,1.22,1.22,1.17,2.42M,8.93%,,,,,,
31/03/1980,1.28,1.28,1.28,1.24,2.31M,4.92%,,,,,,
04/01/1980,1.29,1.29,1.29,1.27,3.12M,0.78%,,,,,,
04/02/1980,1.31,1.31,1.32,1.28,1.82M,1.55%,,,,,,
04/03/1980,1.3,1.3,1.31,1.29,698.40K,-0.76%,,,,,,
04/07/1980,1.24,1.24,1.31,1.23,1.84M,-4.62%,,,,,,
04/08/1980,1.26,1.26,1.26,1.22,1.08M,1.61%,,,,,,
04/09/1980,1.27,1.27,1.28,1.26,1.77M,0.79%,,,,,,
04/10/1980,1.28,1.28,1.28,1.24,653.40K,0.79%,,,,,,
04/11/1980,1.26,1.26,1.28,1.26,1.11M,-1.56%,,,,,,
14/04/1980,1.22,1.22,1.26,1.22,1.06M,-3.17%,,,,,,
15/04/1980,1.21,1.21,1.23,1.19,570.60K,-0.82%,,,,,,
16/04/1980,1.21,1.21,1.23,1.2,815.40K,0.00%,,,,,,
17/04/1980,1.2,1.2,1.21,1.2,583.20K,-0.83%,,,,,,
18/04/1980,1.19,1.19,1.22,1.19,1.16M,-0.83%,,,,,,
21/04/1980,1.19,1.19,1.22,1.19,464.40K,0.00%,,,,,,
22/04/1980,1.23,1.23,1.24,1.19,3.39M,3.36%,,,,,,
23/04/1980,1.25,1.25,1.25,1.22,1.12M,1.63%,,,,,,
24/04/1980,1.31,1.31,1.32,1.25,2.07M,4.80%,,,,,,
25/04/1980,1.31,1.31,1.31,1.25,1.37M,0.00%,,,,,,
28/04/1980,1.32,1.32,1.32,1.31,747.00K,0.76%,,,,,,
29/04/1980,1.3,1.3,1.33,1.3,1.09M,-1.52%,,,,,,
30/04/1980,1.3,1.3,1.33,1.26,698.40K,0.00%,,,,,,
05/01/1980,1.31,1.31,1.33,1.29,837.00K,0.77%,,,,,,
05/02/1980,1.36,1.36,1.36,1.31,1.94M,3.82%,,,,,,
05/05/1980,1.37,1.37,1.37,1.34,2.26M,0.74%,,,,,,
05/06/1980,1.37,1.37,1.39,1.36,4.29M,0.00%,,,,,,
05/07/1980,1.37,1.37,1.39,1.35,3.73M,0.00%,,,,,,
05/08/1980,1.37,1.37,1.38,1.37,1.67M,0.00%,,,,,,
05/09/1980,1.37,1.37,1.37,1.36,2.13M,0.00%,,,,,,
05/12/1980,1.35,1.35,1.37,1.35,783.00K,-1.46%,,,,,,
13/05/1980,1.4,1.4,1.4,1.36,5.43M,3.70%,,,,,,
14/05/1980,1.42,1.42,1.43,1.4,3.54M,1.43%,,,,,,
15/05/1980,1.44,1.44,1.44,1.42,3.51M,1.41%,,,,,,
16/05/1980,1.44,1.44,1.46,1.44,1.39M,0.00%,,,,,,
19/05/1980,1.45,1.45,1.47,1.44,1.48M,0.69%,,,,,,
20/05/1980,1.43,1.43,1.45,1.42,1.37M,-1.38%,,,,,,
21/05/1980,1.4,1.4,1.42,1.38,2.17M,-2.10%,,,,,,
22/05/1980,1.4,1.4,1.41,1.39,1.00M,0.00%,,,,,,
23/05/1980,1.42,1.42,1.44,1.4,3.57M,1.43%,,,,,,
27/05/1980,1.43,1.43,1.44,1.42,918.00K,0.70%,,,,,,
28/05/1980,1.42,1.42,1.42,1.4,2.24M,-0.70%,,,,,,
29/05/1980,1.39,1.39,1.42,1.39,4.28M,-2.11%,,,,,,
30/05/1980,1.42,1.42,1.43,1.37,1.44M,2.16%,,,,,,
06/02/1980,1.42,1.42,1.43,1.41,815.40K,0.00%,,,,,,
06/03/1980,1.41,1.41,1.42,1.4,2.22M,-0.70%,,,,,,
06/04/1980,1.43,1.43,1.43,1.41,811.80K,1.42%,,,,,,
06/05/1980,1.44,1.44,1.45,1.42,2.31M,0.70%,,,,,,
06/06/1980,1.44,1.44,1.44,1.42,1.86M,0.00%,,,,,,
06/09/1980,1.42,1.42,1.43,1.42,811.80K,-1.39%,,,,,,
