Date,Price,Open,High,Low,Vol.,Change %,,,,,,
18/03/1980,0.64,0.64,0.64,0.63,2.19M,6.67%,,,,,,
19/03/1980,0.64,0.64,0.65,0.64,148.50K,0.00%,,,,,,
20/03/1980,0.64,0.64,0.65,0.64,720.50K,0.00%,,,,,,
21/03/1980,0.65,0.65,0.65,0.64,67.10K,1.56%,,,,,,
24/03/1980,0.63,0.63,0.64,0.63,82.50K,-3.08%,,,,,,
25/03/1980,0.64,0.64,0.64,0.63,62.70K,1.59%,,,,,,
26/03/1980,0.63,0.63,0.64,0.61,102.30K,-1.56%,,,,,,
27/03/1980,0.57,0.57,0.59,0.57,1.18M,-9.52%,,,,,,
28/03/1980,0.64,0.64,0.64,0.6,573.10K,12.28%,,,,,,
31/03/1980,0.63,0.63,0.65,0.63,1.31M,-1.56%,,,,,,
01/04/1980,0.61,0.61,0.63,0.6,724.90K,-3.17%,,,,,,
02/04/1980,0.64,0.64,0.64,0.63,3.25M,4.92%,,,,,,
03/04/1980,0.68,0.68,0.68,0.66,3.24M,6.25%,,,,,,
07/04/1980,0.67,0.67,0.68,0.66,3.62M,-1.47%,,,,,,
08/04/1980,0.67,0.67,0.67,0.66,962.50K,0.00%,,,,,,
09/04/1980,0.67,0.67,0.67,0.66,721.60K,0.00%,,,,,,
10/04/1980,0.7,0.7,0.7,0.68,4.07M,4.48%,,,,,,
11/04/1980,0.73,0.73,0.73,0.7,6.13M,4.29%,,,,,,
14/04/1980,0.7,0.7,0.72,0.69,565.40K,-4.11%,,,,,,
15/04/1980,0.69,0.69,0.69,0.68,2.48M,-1.43%,,,,,,
16/04/1980,0.7,0.7,0.7,0.68,3.40M,1.45%,,,,,,
17/04/1980,0.69,0.69,0.7,0.69,155.10K,-1.43%,,,,,,
18/04/1980,0.7,0.7,0.72,0.7,8.01M,1.45%,,,,,,
21/04/1980,0.72,0.72,0.73,0.7,6.05M,2.86%,,,,,,
22/04/1980,0.74,0.74,0.74,0.73,9.04M,2.78%,,,,,,
23/04/1980,0.75,0.75,0.76,0.74,4.46M,1.35%,,,,,,
24/04/1980,0.75,0.75,0.75,0.74,5.01M,0.00%,,,,,,
25/04/1980,0.75,0.75,0.75,0.74,1.97M,0.00%,,,,,,
28/04/1980,0.76,0.76,0.76,0.74,2.17M,1.33%,,,,,,
29/04/1980,0.76,0.76,0.76,0.75,174.90K,0.00%,,,,,,
30/04/1980,0.75,0.75,0.76,0.74,5.49M,-1.32%,,,,,,
01/05/1980,0.74,0.74,0.75,0.73,2.43M,-1.33%,,,,,,
02/05/1980,0.75,0.75,0.75,0.73,2.38M,1.35%,,,,,,
05/05/1980,0.75,0.75,0.75,0.74,2.80M,0.00%,,,,,,
06/05/1980,0.78,0.78,0.78,0.76,2.90M,4.00%,,,,,,
07/05/1980,0.78,0.78,0.8,0.78,629.20K,0.00%,,,,,,
08/05/1980,0.78,0.78,0.78,0.75,584.10K,0.00%,,,,,,
09/05/1980,0.8,0.8,0.8,0.78,4.85M,2.56%,,,,,,
12/05/1980,0.83,0.83,0.83,0.81,2.16M,3.75%,,,,,,
13/05/1980,0.83,0.83,0.84,0.82,8.24M,0.00%,,,,,,
14/05/1980,0.84,0.84,0.84,0.82,3.09M,1.20%,,,,,,
15/05/1980,0.83,0.83,0.83,0.82,7.46M,-1.19%,,,,,,
16/05/1980,0.81,0.81,0.82,0.81,1.19M,-2.41%,,,,,,
19/05/1980,0.78,0.78,0.8,0.78,3.45M,-3.70%,,,,,,
20/05/1980,0.82,0.82,0.82,0.81,732.60K,5.13%,,,,,,
21/05/1980,0.83,0.83,0.84,0.83,954.80K,1.22%,,,,,,
22/05/1980,0.82,0.82,0.84,0.82,936.10K,-1.20%,,,,,,
23/05/1980,0.84,0.84,0.84,0.83,741.40K,2.44%,,,,,,
27/05/1980,0.83,0.83,0.83,0.82,2.27M,-1.19%,,,,,,
28/05/1980,0.83,0.83,0.84,0.82,6.32M,0.00%,,,,,,
29/05/1980,0.82,0.82,0.84,0.82,4.17M,-1.20%,,,,,,
30/05/1980,0.82,0.82,0.83,0.82,183.70K,0.00%,,,,,,
02/06/1980,0.82,0.82,0.83,0.82,1.29M,0.00%,,,,,,
03/06/1980,0.82,0.82,0.82,0.81,1.65M,0.00%,,,,,,
04/06/1980,0.82,0.82,0.83,0.82,737.00K,0.00%,,,,,,
05/06/1980,0.82,0.82,0.83,0.82,163.90K,0.00%,,,,,,
06/06/1980,0.83,0.83,0.83,0.82,1.62M,1.22%,,,,,,
09/06/1980,0.83,0.83,0.83,0.82,1.32M,0.00%,,,,,,
10/06/1980,0.83,0.83,0.84,0.83,2.05M,0.00%,,,,,,
11/06/1980,0.86,0.86,0.86,0.84,2.86M,3.61%,,,,,,
12/06/1980,0.85,0.85,0.86,0.85,815.10K,-1.16%,,,,,,
13/06/1980,0.86,0.86,0.88,0.85,5.21M,1.18%,,,,,,
